,站点地址,站点名称,站点编号,NODE_PARTY_ID,站点加盟日期,银行业务签约日期,签约银行,站点卡数,站点余额,卡均余额,村名,户数,总人口数,标签,t
2923,安徽省阜阳市颍州区九龙镇李竹园村,李竹园村,34120038.0,600006663,2015/1/15 10:25,2015/1/15 10:25,中国银行,0,0.0,\N,李竹园村,5500.0,10000.0,无数据,1.81818181818
2925,甘肃省酒泉市肃州区总寨镇沙格楞村,沙格楞村,62090011.0,600002273,2015/1/15 10:35,2015/1/15 10:35,中国银行,221,1384529.02,6264.837195,沙格楞村,115.0,1268.0,正式运营,11.0260869565
2933,安徽省阜阳市太和县三堂镇三堂村,三堂镇,34120044.0,600006669,2015/1/15 10:45,2015/1/15 10:45,中国银行,0,0.0,\N,三堂镇,3600.0,6600.0,无数据,1.83333333333
2934,甘肃省酒泉市肃州区国营下河清农场下河清农场,下河清,62090012.0,600002274,2015/1/15 10:45,2015/1/15 10:45,中国银行,335,825184.09,2463.23609,下河清农场,600.0,25120.0,非正式运营,41.8666666667
2937,甘肃省酒泉市肃州区清水镇清水村,清水村,62090013.0,600002275,2015/1/15 10:50,2015/1/15 10:50,中国银行,0,0.0,\N,清水村,223.0,3841.0,无数据,17.2242152466
2943,甘肃省酒泉市肃州区下河清乡楼庄村,楼庄村,62090014.0,600002276,2015/1/15 10:54,2015/1/15 10:54,中国银行,0,0.0,\N,楼庄村,105.0,988.0,无数据,9.40952380952
2946,甘肃省酒泉市肃州区上坝镇下坝村,下坝村,62090015.0,600002277,2015/1/15 10:58,2015/1/15 10:58,中国银行,122,1313088.37,10763.01943,下坝村,221.0,1991.0,非正式运营,9.00904977376
2948,甘肃省酒泉市肃州区银达镇关明村,关明村,62090016.0,600002278,2015/1/15 11:02,2015/1/15 11:02,中国银行,0,0.0,\N,关明村,135.0,1136.0,无数据,8.41481481481
2954,甘肃省酒泉市肃州区上坝镇营尔村,余新村,62090018.0,600002280,2015/1/15 11:08,2015/1/15 11:08,中国银行,203,152217.85,749.841626,余新村,234.0,2498.0,正式运营,10.6752136752
2959,甘肃省酒泉市肃州区上坝镇东沟村,东沟村,62090019.0,600002281,2015/1/15 11:12,2015/1/15 11:12,中国银行,242,136651.53,564.675744,东沟村,234.0,2546.0,正式运营,10.8803418803
2970,甘肃省酒泉市肃州区金佛寺镇丰乐口村,天乐村,62090021.0,600002283,2015/1/15 11:19,2015/1/15 11:19,中国银行,0,0.0,\N,天乐村,6523.0,423.0,无数据,0.0648474628239
2973,甘肃省酒泉市肃州区上坝镇营尔村,营尔村,62090022.0,600002284,2015/1/15 11:23,2015/1/15 11:23,中国银行,0,0.0,\N,营尔村,231.0,1860.0,无数据,8.05194805195
2974,安徽省阜阳市颍州区三十里铺镇唐寨村,唐营,34120057.0,600006681,2015/1/15 11:25,2015/1/15 11:25,中国银行,0,0.0,\N,唐营,3300.0,5500.0,无数据,1.66666666667
2975,甘肃省酒泉市肃州区银达镇明沙窝村,茅福村,62090023.0,600002285,2015/1/15 11:26,2015/1/15 11:26,中国银行,0,0.0,\N,茅福村,366.0,4136.0,无数据,11.3005464481
2990,甘肃省酒泉市肃州区国营下河清农场下河清农场,酒运司农场,62090030.0,600002292,2015/1/15 11:55,2015/1/15 11:55,中国银行,754,324644.0,430.562334,酒运司农场,231.0,1860.0,正式运营,8.05194805195
2999,甘肃省酒泉市肃州区总寨镇单闸村,单闸村,62090033.0,600002295,2015/1/15 12:17,2015/1/15 12:17,中国银行,299,1201637.15,4018.853344,单闸村,344.0,3465.0,非正式运营,10.0726744186
3000,甘肃省酒泉市肃州区总寨镇三奇堡村,三奇堡村,62090034.0,600002296,2015/1/15 12:20,2015/1/15 12:20,中国银行,0,0.0,\N,三奇堡村,332.0,3277.0,无数据,9.87048192771
3001,甘肃省酒泉市肃州区银达镇怀中村,怀中村,62090035.0,600002297,2015/1/15 12:24,2015/1/15 12:24,中国银行,0,0.0,\N,怀中村,456.0,4070.0,无数据,8.92543859649
3004,甘肃省酒泉市敦煌市南湖乡乡办林场村,敦煌农场,62090037.0,600002299,2015/1/15 12:39,2015/1/15 12:39,中国银行,0,0.0,\N,敦煌农场,236.0,2235.0,无数据,9.47033898305
3011,河南省南阳市邓州市小杨营乡小杨营村,邓州市小杨营乡王达旭助农金融,41130046.0,600002743,2015/1/15 13:38,2015/1/15 13:38,中国银行,1211,3673845.22,3033.728505,小杨营村,1600.0,15000.0,正式运营,9.375
3012,河南省南阳市卧龙区安皋镇安皋村,南阳市卧龙区安皋镇,41130047.0,600002744,2015/1/15 13:45,2015/1/15 13:45,中国银行,3,1000.49,333.496667,安皋,1500.0,60000.0,非正式运营,40.0
3017,甘肃省酒泉市敦煌市郭家堡乡南渠村,南湖,62090039.0,600002301,2015/1/15 14:14,2015/1/15 14:14,中国银行,0,0.0,\N,南湖,432.0,3841.0,无数据,8.8912037037
3018,甘肃省酒泉市敦煌市黄渠乡马圈滩村,马圈滩村,62090040.0,600002302,2015/1/15 14:18,2015/1/15 14:18,中国银行,0,0.0,\N,马圈滩村,102.0,981.0,无数据,9.61764705882
3021,甘肃省酒泉市敦煌市七里镇秦家湾村,秦家湾村,62090041.0,600002303,2015/1/15 14:22,2015/1/15 14:22,中国银行,148,192149.65,1298.308446,秦家湾村,221.0,1784.0,正式运营,8.07239819005
3032,甘肃省酒泉市敦煌市黄渠乡常丰村,常丰村,62090046.0,600002308,2015/1/15 14:40,2015/1/15 14:40,中国银行,0,0.0,\N,常丰村,365.0,4136.0,无数据,11.3315068493
3036,河南省南阳市新野县上港乡花园村,新野县上港乡齐花园村齐克新助农金融,41130051.0,600002748,2015/1/15 14:59,2015/1/15 14:59,中国银行,90,800255.84,8891.731556,花园村,500.0,10000.0,正式运营,20.0
3037,甘肃省酒泉市敦煌市杨家桥乡中渠村,中渠村,62090048.0,600002310,2015/1/15 14:59,2015/1/15 14:59,中国银行,0,0.0,\N,中渠村,138.0,1228.0,无数据,8.89855072464
3040,甘肃省酒泉市敦煌市郭家堡乡六号桥村,龙勒村,62090050.0,600002312,2015/1/15 15:07,2015/1/15 15:07,中国银行,0,0.0,\N,龙勒村,336.0,3348.0,无数据,9.96428571429
3044,甘肃省酒泉市敦煌市肃州镇武威庙村,武威庙村,62090053.0,600002315,2015/1/15 15:16,2015/1/15 15:16,中国银行,157,26775.85,170.546815,武威庙村,240.0,2300.0,非正式运营,9.58333333333
3052,安徽省滁州市来安县半塔镇丁城村,丁城站,34110085.0,600000318,2015/1/15 15:56,2015/1/15 15:56,建设银行,170,27345.14,160.853765,丁城村,900.0,1756.0,非正式运营,1.95111111111
3063,甘肃省张掖市甘州区小满镇甘城村,甘成村,62070019.0,600002316,2015/1/15 16:07,2015/1/15 16:07,中国银行,343,523710.2,1526.851895,甘成村,200.0,1650.0,非正式运营,8.25
3066,河南省南阳市邓州市穰东镇泰山庙村,邓州市穰东镇张自芳助农金融,41130056.0,600002753,2015/1/15 16:08,2015/1/15 16:08,中国银行,133,571259.78,4295.186316,泰山庙村,1000.0,20000.0,正式运营,20.0
3068,安徽省滁州市来安县半塔镇红旗村,和平站,34110099.0,600000332,2015/1/15 16:10,2015/1/15 16:10,建设银行,103,243809.08,2367.078447,和平村,1352.0,2088.0,非正式运营,1.54437869822
3082,河南省南阳市西峡县五里桥乡曹岗村,西峡五里桥曹岗村助农点,41130062.0,600002759,2015/1/15 16:55,2015/1/15 16:55,中国银行,107,138624.91,1295.559907,曹岗沟口,300.0,2800.0,非正式运营,9.33333333333
3086,安徽省滁州市定远县定城镇泉坞山,泉坞山,34110111.0,600000344,2015/1/15 17:34,2015/1/15 17:34,建设银行,65,156432.01,2406.646308,泉坞,2364.0,4320.0,非正式运营,1.82741116751
3088,安徽省滁州市定远县青洛乡严涧村,严涧站,34110112.0,600000345,2015/1/15 17:38,2015/1/15 17:38,建设银行,39,609.89,15.638205,严涧,1800.0,3241.0,非正式运营,1.80055555556
3102,安徽省滁州市定远县西卅店镇西卅店,西卅店,34110123.0,600000356,2015/1/15 17:58,2015/1/15 17:58,建设银行,301,41480.48,137.808904,西卅店,1875.0,3562.0,非正式运营,1.89973333333
3104,安徽省滁州市定远县范岗乡宋府村,宋府站,34110125.0,600000358,2015/1/15 18:00,2015/1/15 18:00,建设银行,1,3444.15,3444.15,宋府,1140.0,2110.0,非正式运营,1.85087719298
3111,甘肃省张掖市甘州区三闸镇新建村,新建村,62070021.0,600002338,2015/1/15 18:59,2015/1/15 18:59,中国银行,0,0.0,\N,新建村,398.0,4210.0,无数据,10.5778894472
3113,甘肃省张掖市甘州区梁家墩镇五号村,五号村,62070022.0,600002339,2015/1/15 19:02,2015/1/15 19:02,中国银行,0,0.0,\N,五号村,362.0,3120.0,无数据,8.61878453039
3114,甘肃省张掖市甘州区小满镇古浪村,古浪村,62070023.0,600002340,2015/1/15 19:06,2015/1/15 19:06,中国银行,0,0.0,\N,古浪村,296.0,2985.0,无数据,10.0844594595
3115,甘肃省张掖市甘州区乌江镇乌江村,乌江村,62070024.0,600002341,2015/1/15 19:11,2015/1/15 19:11,中国银行,512,190131.0,371.349609,甘州区乌江镇乌江村,321.0,3120.0,非正式运营,9.71962616822
3116,甘肃省张掖市甘州区新墩镇南华村,南华村,62070025.0,600002342,2015/1/15 19:17,2015/1/15 19:17,中国银行,136,240686.93,1769.756838,新墩镇南华村,365.0,3698.0,非正式运营,10.1315068493
3119,甘肃省张掖市甘州区新墩镇北关村,北关村,62070026.0,600002343,2015/1/15 19:23,2015/1/15 19:23,中国银行,121,22641.36,187.118678,北关村,325.0,2965.0,正式运营,9.12307692308
3121,甘肃省张掖市甘州区上秦镇徐赵寨村,徐赵寨村,62070027.0,600002344,2015/1/15 19:27,2015/1/15 19:27,中国银行,0,0.0,\N,徐赵寨村,321.0,3008.0,无数据,9.3707165109
3122,甘肃省张掖市甘州区党寨镇汪家堡村,汪家堡村,62070028.0,600002345,2015/1/15 19:30,2015/1/15 19:30,中国银行,0,0.0,\N,汪家堡村,362.0,3221.0,无数据,8.89779005525
3124,甘肃省张掖市甘州区乌江镇大湾村,大湾村,62070029.0,600002346,2015/1/15 19:33,2015/1/15 19:33,中国银行,0,0.0,\N,大湾村,333.0,3205.0,无数据,9.62462462462
3125,甘肃省张掖市甘州区明永乡上崖村,上崖村,62070030.0,600002347,2015/1/15 19:36,2015/1/15 19:36,中国银行,0,0.0,\N,上崖村,302.0,3336.0,无数据,11.0463576159
3127,甘肃省张掖市甘州区沙井镇柳树寨村,柳树寨村,62070031.0,600002348,2015/1/15 19:39,2015/1/15 19:39,中国银行,0,0.0,\N,柳树寨村,268.0,2998.0,无数据,11.1865671642
3128,甘肃省张掖市甘州区沙井镇南沟村,南沟村,62070033.0,600002350,2015/1/15 19:46,2015/1/15 19:46,中国银行,0,0.0,\N,南沟村,362.0,3668.0,无数据,10.1325966851
3132,贵州省贵阳市白云区艳山红镇摆拢村,摆拢村,52010023.0,600001341,2015/1/15 20:04,2015/1/15 20:04,贵阳银行,64,14111.43,220.491094,摆拢村,100.0,3560.0,正式运营,35.6
3133,贵州省贵阳市清镇市麦格苗族布依族乡新寨村,新寨村,52010024.0,600001342,2015/1/15 20:09,2015/1/15 20:09,贵阳银行,0,0.0,\N,新寨村,770.0,30000.0,无数据,38.961038961
3141,河南省南阳市宛城区汉冢乡汉冢村,汉冢惠农支付服务点,41130077.0,600002774,2015/1/15 21:01,2015/1/15 21:01,中国银行,241,130153.15,540.054564,汉冢村,40000.0,60000.0,非正式运营,1.5
3146,贵州省贵阳市白云区沙文镇四方坡村,四方坡村,52010029.0,600001352,2015/1/15 21:27,2015/1/15 21:27,贵阳银行,422,6870000.0,16279.62085,四方坡村,400.0,120.0,正式运营,0.3
3149,贵州省贵阳市南明区后巢乡后巢村,南明区后巢乡后巢村,52010033.0,600001356,2015/1/15 21:59,2015/1/15 21:59,贵阳银行,638,13420000.0,21034.48276,后巢村,1364.0,26724.0,正式运营,19.5923753666
3153,贵州省贵阳市南明区太慈桥街道办事处电建一公司社区,阿栗花卉世界,52010036.0,600001359,2015/1/15 22:26,2015/1/15 22:26,贵阳银行,141,1290000.0,9148.93617,阿栗花卉世界,100.0,100.0,正式运营,1.0
3184,河北省廊坊市广阳区九州镇北顺民屯村,广阳区人保财险助农点,13100272.0,600006374,2015/1/16 0:00,2015/1/16 0:00,中国银行,127,240000.0,1889.76378,人保财险,123.0,1231.0,非正式运营,10.0081300813
3201,河南省商丘市柘城县老王集乡,柘城县老王集乡朱河坡助农服务取款点,41140612.0,600003367,2015/1/16 15:43,2015/1/16 15:43,中国银行,393,416190.45,1059.008779,朱河坡,4000.0,2000.0,正式运营,0.5
3211,安徽省滁州市凤阳县枣巷渔业乡观音堂村,观音塘,34110128.0,600000361,2015/1/16 16:24,2015/1/16 16:24,建设银行,189,91713.12,485.254603,观音塘,1600.0,2465.0,非正式运营,1.540625
3218,安徽省滁州市凤阳县亮岗乡亮岗村,亮岗站,34110132.0,600000365,2015/1/16 16:57,2015/1/16 16:57,建设银行,30,1009.78,33.659333,亮岗,968.0,1935.0,非正式运营,1.99896694215
3226,安徽省滁州市凤阳县黄湾乡大新村,大兴站,34110140.0,600000373,2015/1/16 17:06,2015/1/16 17:06,建设银行,47,133.45,2.839362,大兴村,964.0,1899.0,非正式运营,1.96991701245
3256,河北省秦皇岛市昌黎县朱各庄镇指挥村,昌黎县朱各庄镇指挥村,13030077.0,600002393,2015/1/17 15:59,2015/1/17 15:59,中国银行,9759,498060000.0,51035.9668,昌黎县朱各庄镇指挥村,500.0,10000.0,正式运营,20.0
3337,安徽省安庆市桐城市碧峰街道汪洋村,安庆桐城市文昌街道汪洋村助农服务点,34080024.0,600005513,2015/1/26 0:00,2015/1/26 0:00,中国银行,202,4908247.43,24298.2546,汪洋村,3600.0,750.0,正式运营,0.208333333333
3358,甘肃省张掖市甘州区党寨镇雷寨村,雷寨村,62070062.0,600005874,2015/1/27 14:38,2015/1/27 14:38,中国银行,260,330619.41,1271.613115,雷寨村,412.0,3980.0,正式运营,9.66019417476
3404,山东省临沂市平邑县武台镇董家庄村,临沂市平邑县武台镇董家庄助农服务点,37130042.0,600005168,2015/2/2 11:26,2015/2/2 11:26,中国银行,182,923376.97,5073.499835,董家庄村,4000.0,2000.0,正式运营,0.5
3452,安徽省亳州市蒙城县许町镇赵集村,亳州蒙城许疃镇赵集街助农点,34160024.0,600005802,2015/2/8 0:00,2015/2/8 0:00,中国银行,1013,2980738.7,2942.486377,赵集,1000.0,30000.0,正式运营,30.0
3458,甘肃省天水市秦州区玉泉镇孙家坪村,孙家坪助农点,62050003.0,600005710,2015/2/9 15:14,2015/2/9 15:14,中国银行,155,1781491.53,11493.49374,孙家坪村助农点,120.0,1500.0,正式运营,12.5
3481,安徽省阜阳市颍泉区伍明镇伍明,阜阳市伍明农村金融综合服务站,34120067.0,600006691,2015/2/12 0:00,2015/2/12 0:00,中国银行,177,222216.51,1255.460508,伍明,30000.0,50000.0,非正式运营,1.66666666667
3502,山东省威海市文登市宋村镇小床村,威海市文登县宋村镇小床村助农服务点,37100118.0,600002592,2015/2/25 17:02,2015/2/25 17:02,中国银行,115,7108931.79,61816.79817,小床村,600.0,800.0,正式运营,1.33333333333
3532,河北省沧州市献县韩村乡邵束州村,献县韩村镇邵束州村,13090376.0,600001858,2015/3/9 14:46,2015/3/9 14:46,中国银行,429,6460000.0,15058.27506,献县韩村镇邵束州村,2000.0,400.0,正式运营,0.2
3583,河北省唐山市遵化市东新庄镇北岗村,遵化市东新庄镇北岗村,13020395.0,600001562,2015/3/9 22:08,2015/3/9 22:08,中国银行,120,30150000.0,251250, 北岗村,1000.0,300.0,非正式运营,0.3
3776,甘肃省定西市安定区馋口镇三十里铺村,谗口镇三十里铺村助农点,62110005.0,600005725,2015/6/15 10:45,2015/6/15 10:45,中国银行,132,671953.82,5090.559242,三十里铺村,2410.0,370.0,正式运营,0.153526970954
3782,河北省沧州市肃宁县万里镇泗水岸村,河北省沧州市肃宁县万里镇泗水岸村,13090484.0,600002624,2015/6/30 13:56,2015/6/30 13:56,中国银行,99,580000.0,5858.585859,泗水岸村,2000.0,500.0,正式运营,0.25
3803,安徽省安庆市望江县长岭镇银杏村,安庆望江支行营业部长岭镇新桥街助农取款点,34080044.0,600000392,2015/7/18 12:05,2015/7/18 12:05,中国银行,52,26.79,0.515192,银杏村,1000.0,1500.0,非正式运营,1.5
3814,安徽省安庆市怀宁县金拱镇兴胜村,怀宁县金拱镇兴胜村助农取款点,34080045.0,600006798,2015/8/3 0:00,2015/8/3 0:00,中国银行,9,17259.42,1917.713333,兴胜村,800.0,1500.0,非正式运营,1.875
3859,河北省石家庄市新乐市东王镇孔村,新乐市东王镇孔村,13010436.0,600001115,2015/8/19 18:34,2015/8/19 18:34,张家口银行,391,2392834.24,6119.780665,孔村,1.0,1.0,正式运营,1.0
3952,甘肃省兰州市永登县苦水镇新屯川村,新屯川助农点,62010035.0,600005729,2015/9/2 16:01,2015/9/2 16:01,中国银行,192,83876.57,436.857135,新屯川,260.0,2800.0,非正式运营,10.7692307692
4097,山东省潍坊市寿光市,寿光滨海开发区新兴村,37070189.0,600006550,2015/10/9 18:25,2015/10/9 18:25,工商银行,749,740954.87,989.258838,新兴村,1000.0,200.0,正式运营,0.2
4116,山东省临沂市平邑县,南马社区,37130085.0,600008234,2015/10/13 22:12,2015/10/13 22:12,中国银行,38,88188.1,2320.739474,南马社区,600.0,7000.0,正式运营,11.6666666667
4245,河北省石家庄市辛集市前营乡杜林村,辛集市前营乡杜林村,13010997.0,600008641,2015/10/28 14:11,2015/10/28 14:11,张家口银行,229,1963646.5,8574.875546,杜林村,5400.0,1800.0,正式运营,0.333333333333
4280,山东省德州市德城区抬头寺乡,大付村网点,37140147.0,600008698,2015/10/28 21:31,2015/10/28 21:31,中国银行,0,0.0,\N,大付庄村,1200.0,310.0,无数据,0.258333333333
4284,山东省德州市德城区抬头寺乡,双庙村网点,37140149.0,600008703,2015/10/28 21:34,2015/10/28 21:34,中国银行,0,0.0,\N,双庙村,760.0,200.0,无数据,0.263157894737
4286,山东省德州市市辖区,抬头寺村网点,37140150.0,600008705,2015/10/28 21:37,2015/10/28 21:37,中国银行,0,0.0,\N,抬头寺村,2600.0,760.0,无数据,0.292307692308
4293,山东省德州市德城区抬头寺乡,曹庄村网点,37140152.0,600008714,2015/10/28 21:44,2015/10/28 21:44,中国银行,0,0.0,\N,曹庄村,900.0,240.0,无数据,0.266666666667
4296,山东省潍坊市高密市,东杨岭村,37070212.0,600008718,2015/10/28 21:47,2015/10/28 21:47,工商银行,0,0.0,\N,东杨岭村,230.0,100.0,无数据,0.434782608696
4304,山东省烟台市招远市梦芝街道,龙馨佳苑网点,37060450.0,600008726,2015/10/28 21:55,2015/10/28 21:55,中国银行,0,0.0,\N,龙馨佳苑,1000.0,10000.0,无数据,10.0
4369,河北省石家庄市新乐市化皮镇西岳村,新乐市化皮镇西岳村助农,1.3e+12,1000003097,2015/11/3 13:51,2016/5/13 0:00,张家口银行,5,50141.75,10028.35,西岳村,200.0,2000.0,正式运营,10.0
4388,河北省衡水市饶阳县留楚乡北善旺村,饶阳县留楚乡北善旺村,1.31e+12,1000005119,2015/11/5 10:27,2016/3/4 0:00,中国银行,0,0.0,\N,北善旺村,1350.0,1800.0,无数据,1.33333333333
4431,河北省石家庄市赵县王西章乡侯召村,赵县王西章乡侯召村,1.3e+12,1000011296,2015/11/8 0:00,2015/11/8 0:00,平安银行,5,16.39,3.278,侯召村,200.0,1800.0,正式运营,9.0
4434,山东省威海市荣成市斥山街道办事处东泊子村,荣成市斥山街道东泊子村,3.71e+12,1000012550,2015/11/8 0:00,2016/1/14 0:00,中国银行,0,2206712.02,\N,东泊子村,800.0,1500.0,正式运营,1.875
4436,安徽省安庆市怀宁县金拱镇兴胜村,怀宁县金拱镇兴胜村,3.41e+12,1000012822,2015/11/8 0:00,2015/12/4 0:00,中国银行,134,2591351.32,19338.44269,兴胜村,2200.0,550.0,正式运营,0.25
4444,河北省石家庄市行唐县只里乡霍村,行唐县只里乡霍村,1.3e+12,1000014434,2015/11/9 0:00,2015/11/9 0:00,张家口银行,137,1189506.65,8682.530292,霍村,3000.0,1000.0,正式运营,0.333333333333
4471,河北省石家庄市无极县张段固镇西两河村,无极县张段固镇东南丰村,1.3e+12,1000018729,2015/11/17 0:00,2016/1/29 0:00,张家口银行,20,336700.0,16835,西两河村,5000.0,1200.0,正式运营,0.24
4473,河北省石家庄市栾城县窦妪镇北赵台村,栾城县窦妪镇北赵台村张家口银行,1.3e+12,1000018809,2015/11/17 0:00,2015/11/17 0:00,张家口银行,314,3259875.38,10381.76873,北赵台村,2550.0,900.0,正式运营,0.352941176471
4488,河北省唐山市迁安市杨各庄镇高各庄村,迁安市杨各庄镇高各庄村,1.3e+12,1000020227,2014/12/3 0:00,2014/12/3 0:00,中国银行,510,400000.0,784.313725,高各庄村,2000.0,600.0,正式运营,0.3
4498,山东省威海市荣成市王连街道办事处马岭孙家村,荣成市王连街道办事处马岭孙家村,3.71e+12,1000020883,2015/11/19 0:00,2015/11/19 0:00,中国银行,0,0.0,\N,马岭孙家村,330.0,600.0,无数据,1.81818181818
4510,河北省石家庄市藁城市岗上镇双庙村,藁城市岗上镇双庙村3,1.3e+12,1000022122,2015/11/20 0:00,2015/11/20 0:00,张家口银行,35,344000.0,9828.571429,双庙村,4000.0,1000.0,正式运营,0.25
4526,山东省威海市文登市泽头镇西程格村,"文登市泽头镇西程格村服务点
",3.71e+12,1000025788,2015/11/24 0:00,2015/11/24 0:00,中国银行,1,1655989.14,1655989.14,西程格村,300.0,560.0,正式运营,1.86666666667
4548,河北省石家庄市藁城市南董镇南大章村,藁城市南董镇南大章村二站,1.3e+12,1000028443,2015/10/15 0:00,2015/10/15 0:00,张家口银行,395,4619413.32,11694.71727,南大章村,4000.0,1000.0,正式运营,0.25
4554,山东省威海市环翠区崮山镇岭后村,环翠区崮山镇岭后村,3.71e+12,1000029295,2015/11/27 0:00,2016/5/13 0:00,中国银行,0,0.0,\N,岭后村,800.0,260.0,无数据,0.325
4562,河北省石家庄市晋州市晋州镇樊庄村,晋州市晋州镇樊庄村一站,1.3e+12,1000030032,2015/6/12 0:00,2015/11/28 0:00,张家口银行,119,1430180.0,12018.31933,樊庄村,1000.0,400.0,正式运营,0.4
4585,河北省沧州市盐山县圣佛镇西田村,盐山县圣佛镇西田村,1.31e+12,1000034912,2015/12/2 0:00,2015/12/2 0:00,中国银行,196,1500000.0,7653.061224,西田村,2200.0,550.0,正式运营,0.25
4594,河南省商丘市永城市裴桥镇和顺村,永城市裴桥镇和顺村,4.11e+12,1000035189,2015/12/9 0:00,2016/2/19 0:00,中国银行,131,355609.54,2714.576641,和顺村,10000.0,2000.0,正式运营,0.2
4650,河北省衡水市枣强县王常乡大吕木村,枣强县王常乡大吕木村,1.31e+12,1000035944,2015/3/1 0:00,2016/2/20 0:00,中国银行,60,0.0,0,大吕木村,1200.0,340.0,正式运营,0.283333333333
4685,上海市县崇明县上实现代农业园区上实现代农业园区虚拟,上海市浦东新区官方内测网点,310115011.0,1000036386,2015/12/30 0:00,2016/1/13 0:00,工商银行,0,0.0,\N,东三里桥路,500.0,13000.0,无数据,26.0
